hand,hero_win,villain_win,tie
8dTh,0.514,0.468,0.018
8dTs,0.456,0.504,0.04
8dJc,0.484,0.488,0.028
8dJd,0.542,0.422,0.036
8dJh,0.482,0.492,0.026
8dJs,0.46,0.494,0.046
8dQc,0.54,0.416,0.044
8dQd,0.6,0.368,0.032
8dQh,0.498,0.482,0.02
8dQs,0.518,0.438,0.044
8dKc,0.558,0.412,0.03
8dKd,0.61,0.368,0.022
8dKh,0.534,0.44,0.026
8dKs,0.568,0.402,0.03
8dAc,0.604,0.364,0.032
8dAd,0.64,0.342,0.018
8dAh,0.552,0.424,0.024
8dAs,0.588,0.388,0.024
8h8s,0.666,0.328,0.006
8h9c,0.456,0.516,0.028
8h9d,0.46,0.508,0.032
8h9h,0.498,0.442,0.06
8h9s,0.45,0.512,0.038
8hTc,0.438,0.498,0.064
8hTd,0.488,0.48,0.032
8hTh,0.49,0.47,0.04
8hTs,0.502,0.458,0.04
8hJc,0.478,0.49,0.032
8hJd,0.504,0.462,0.034
8hJh,0.508,0.444,0.048
8hJs,0.502,0.462,0.036
8hQc,0.514,0.456,0.03
8hQd,0.538,0.436,0.026
8hQh,0.53,0.444,0.026
8hQs,0.544,0.418,0.038
8hKc,0.55,0.416,0.034
8hKd,0.55,0.426,0.024
8hKh,0.564,0.406,0.03
8hKs,0.532,0.434,0.034
8hAc,0.532,0.448,0.02
8hAd,0.604,0.372,0.024
8hAh,0.62,0.346,0.034
8hAs,0.562,0.41,0.028
8s9c,0.454,0.496,0.05
8s9d,0.428,0.536,0.036
8s9h,0.47,0.49,0.04
8s9s,0.47,0.492,0.038
8sTc,0.492,0.47,0.038
8sTd,0.438,0.522,0.04
8sTh,0.49,0.48,0.03
8sTs,0.5,0.46,0.04
8sJc,0.546,0.426,0.028
8sJd,0.51,0.456,0.034
8sJh,0.496,0.468,0.036
8sJs,0.532,0.452,0.016
8sQc,0.544,0.43,0.026
8sQd,0.544,0.434,0.022
8sQh,0.458,0.494,0.048
8sQs,0.558,0.41,0.032
8sKc,0.58,0.402,0.018
8sKd,0.52,0.44,0.04
8sKh,0.546,0.42,0.034
8sKs,0.55,0.422,0.028
8sAc,0.556,0.418,0.026
8sAd,0.588,0.356,0.056
8sAh,0.57,0.398,0.032
8sAs,0.642,0.338,0.02
9c9d,0.704,0.284,0.012
9c9h,0.724,0.266,0.01
9c9s,0.722,0.272,0.006
9cTc,0.482,0.48,0.038
9cTd,0.494,0.468,0.038
9cTh,0.464,0.51,0.026
9cTs,0.488,0.474,0.038
9cJc,0.482,0.484,0.034
9cJd,0.488,0.474,0.038
9cJh,0.548,0.428,0.024
9cJs,0.502,0.462,0.036
9cQc,0.56,0.404,0.036
9cQd,0.532,0.44,0.028
9cQh,0.552,0.406,0.042
9cQs,0.494,0.484,0.022
9cKc,0.632,0.338,0.03
9cKd,0.552,0.426,0.022
9cKh,0.512,0.454,0.034
9cKs,0.58,0.398,0.022
9cAc,0.608,0.368,0.024
9cAd,0.64,0.342,0.018
9cAh,0.614,0.36,0.026
9cAs,0.628,0.342,0.03
9d9h,0.71,0.278,0.012
9d9s,0.75,0.246,0.004
9dTc,0.508,0.47,0.022
9dTd,0.536,0.426,0.038
9dTh,0.488,0.474,0.038
9dTs,0.5,0.474,0.026
9dJc,0.522,0.448,0.03
9dJd,0.5,0.472,0.028
9dJh,0.508,0.452,0.04
9dJs,0.532,0.426,0.042
9dQc,0.586,0.404,0.01
9dQd,0.582,0.386,0.032
9dQh,0.568,0.388,0.044
9dQs,0.55,0.424,0.026
9dKc,0.54,0.43,0.03
9dKd,0.548,0.418,0.034
9dKh,0.58,0.396,0.024
9dKs,0.562,0.414,0.024
9dAc,0.562,0.402,0.036
9dAd,0.626,0.352,0.022
9dAh,0.546,0.428,0.026
9dAs,0.612,0.368,0.02
