hand,hero_win,villain_win,tie
3cJs,0.436,0.53,0.034
3cQc,0.494,0.468,0.038
3cQd,0.474,0.476,0.05
3cQh,0.472,0.484,0.044
3cQs,0.452,0.506,0.042
3cKc,0.528,0.44,0.032
3cKd,0.508,0.438,0.054
3cKh,0.51,0.448,0.042
3cKs,0.514,0.444,0.042
3cAc,0.612,0.35,0.038
3cAd,0.504,0.454,0.042
3cAh,0.554,0.412,0.034
3cAs,0.544,0.418,0.038
3d3h,0.516,0.472,0.012
3d3s,0.518,0.458,0.024
3d4c,0.322,0.62,0.058
3d4d,0.344,0.608,0.048
3d4h,0.338,0.618,0.044
3d4s,0.33,0.602,0.068
3d5c,0.35,0.584,0.066
3d5d,0.382,0.554,0.064
3d5h,0.316,0.622,0.062
3d5s,0.342,0.59,0.068
3d6c,0.328,0.626,0.046
3d6d,0.352,0.582,0.066
3d6h,0.306,0.634,0.06
3d6s,0.322,0.622,0.056
3d7c,0.346,0.596,0.058
3d7d,0.348,0.59,0.062
3d7h,0.34,0.594,0.066
3d7s,0.338,0.606,0.056
3d8c,0.298,0.648,0.054
3d8d,0.368,0.586,0.046
3d8h,0.384,0.57,0.046
3d8s,0.336,0.626,0.038
3d9c,0.396,0.552,0.052
3d9d,0.436,0.536,0.028
3d9h,0.38,0.56,0.06
3d9s,0.376,0.584,0.04
3dTc,0.424,0.536,0.04
3dTd,0.422,0.552,0.026
3dTh,0.374,0.578,0.048
3dTs,0.39,0.548,0.062
3dJc,0.428,0.532,0.04
3dJd,0.464,0.496,0.04
3dJh,0.408,0.562,0.03
3dJs,0.432,0.512,0.056
3dQc,0.468,0.48,0.052
3dQd,0.46,0.498,0.042
3dQh,0.426,0.518,0.056
3dQs,0.472,0.49,0.038
3dKc,0.476,0.466,0.058
3dKd,0.516,0.44,0.044
3dKh,0.492,0.478,0.03
3dKs,0.506,0.444,0.05
3dAc,0.558,0.406,0.036
3dAd,0.618,0.342,0.04
3dAh,0.51,0.45,0.04
3dAs,0.532,0.418,0.05
3h3s,0.566,0.414,0.02
3h4c,0.308,0.616,0.076
3h4d,0.326,0.598,0.076
3h4h,0.378,0.564,0.058
3h4s,0.352,0.588,0.06
3h5c,0.324,0.62,0.056
3h5d,0.308,0.628,0.064
3h5h,0.38,0.554,0.066
3h5s,0.334,0.602,0.064
3h6c,0.332,0.622,0.046
3h6d,0.374,0.542,0.084
3h6h,0.408,0.524,0.068
3h6s,0.362,0.594,0.044
3h7c,0.344,0.58,0.076
3h7d,0.356,0.574,0.07
3h7h,0.374,0.592,0.034
3h7s,0.328,0.61,0.062
3h8c,0.348,0.596,0.056
3h8d,0.32,0.62,0.06
3h8h,0.394,0.544,0.062
3h8s,0.36,0.57,0.07
3h9c,0.398,0.56,0.042
3h9d,0.416,0.542,0.042
3h9h,0.454,0.5,0.046
3h9s,0.382,0.574,0.044
3hTc,0.354,0.61,0.036
3hTd,0.44,0.518,0.042
3hTh,0.49,0.472,0.038
3hTs,0.41,0.548,0.042
3hJc,0.452,0.514,0.034
3hJd,0.41,0.546,0.044
3hJh,0.462,0.496,0.042
3hJs,0.454,0.502,0.044
3hQc,0.442,0.51,0.048
3hQd,0.508,0.454,0.038
3hQh,0.488,0.466,0.046
3hQs,0.46,0.506,0.034
3hKc,0.478,0.468,0.054
3hKd,0.502,0.46,0.038
3hKh,0.488,0.472,0.04
3hKs,0.46,0.494,0.046
3hAc,0.556,0.406,0.038
3hAd,0.492,0.462,0.046
3hAh,0.524,0.426,0.05
3hAs,0.534,0.432,0.034
3s4c,0.328,0.62,0.052
3s4d,0.364,0.592,0.044
3s4h,0.296,0.644,0.06
3s4s,0.37,0.588,0.042
3s5c,0.336,0.628,0.036
3s5d,0.358,0.576,0.066
3s5h,0.294,0.616,0.09
3s5s,0.372,0.566,0.062
3s6c,0.354,0.596,0.05
3s6d,0.324,0.616,0.06
3s6h,0.314,0.636,0.05
3s6s,0.414,0.544,0.042
3s7c,0.344,0.592,0.064
3s7d,0.348,0.602,0.05
3s7h,0.316,0.61,0.074
3s7s,0.382,0.566,0.052
3s8c,0.31,0.638,0.052
3s8d,0.366,0.59,0.044
3s8h,0.336,0.602,0.062
3s8s,0.394,0.562,0.044
3s9c,0.378,0.562,0.06
3s9d,0.362,0.596,0.042
3s9h,0.412,0.544,0.044
3s9s,0.396,0.556,0.048
3sTc,0.384,0.572,0.044
3sTd,0.404,0.542,0.054
3sTh,0.4,0.542,0.058
3sTs,0.406,0.55,0.044
3sJc,0.434,0.514,0.052
3sJd,0.438,0.522,0.04
3sJh,0.446,0.502,0.052
3sJs,0.448,0.512,0.04
3sQc,0.508,0.462,0.03
3sQd,0.436,0.508,0.056
3sQh,0.408,0.546,0.046
3sQs,0.502,0.46,0.038
3sKc,0.46,0.496,0.044
3sKd,0.478,0.468,0.054
3sKh,0.552,0.406,0.042
3sKs,0.562,0.408,0.03
3sAc,0.514,0.436,0.05
3sAd,0.544,0.418,0.038
3sAh,0.528,0.43,0.042
3sAs,0.558,0.398,0.044
4c4d,0.568,0.41,0.022
4c4h,0.548,0.438,0.014
4c4s,0.6,0.388,0.012
4c5c,0.368,0.568,0.064
4c5d,0.338,0.596,0.066
4c5h,0.36,0.57,0.07
4c5s,0.364,0.55,0.086
4c6c,0.396,0.57,0.034
4c6d,0.304,0.62,0.076
4c6h,0.374,0.572,0.054
4c6s,0.324,0.592,0.084
4c7c,0.404,0.55,0.046
4c7d,0.326,0.594,0.08
4c7h,0.362,0.602,0.036
4c7s,0.36,0.57,0.07
4c8c,0.404,0.554,0.042
4c8d,0.336,0.592,0.072
4c8h,0.352,0.604,0.044
4c8s,0.36,0.58,0.06
4c9c,0.372,0.57,0.058
4c9d,0.374,0.58,0.046
4c9h,0.374,0.564,0.062
4c9s,0.354,0.578,0.068
4cTc,0.404,0.55,0.046
4cTd,0.418,0.522,0.06
4cTh,0.41,0.54,0.05
4cTs,0.456,0.482,0.062
4cJc,0.464,0.504,0.032
4cJd,0.48,0.496,0.024
4cJh,0.448,0.5,0.052
4cJs,0.464,0.492,0.044
4cQc,0.528,0.42,0.052
4cQd,0.472,0.48,0.048
4cQh,0.498,0.462,0.04
4cQs,0.494,0.464,0.042
4cKc,0.55,0.386,0.064
4cKd,0.468,0.5,0.032
4cKh,0.508,0.448,0.044
4cKs,0.528,0.45,0.022
4cAc,0.584,0.388,0.028
4cAd,0.556,0.396,0.048
4cAh,0.502,0.46,0.038
4cAs,0.54,0.426,0.034
4d4h,0.548,0.44,0.012
4d4s,0.562,0.42,0.018
4d5c,0.3,0.64,0.06
4d5d,0.366,0.572,0.062
4d5h,0.348,0.602,0.05
4d5s,0.368,0.552,0.08
4d6c,0.352,0.592,0.056
4d6d,0.404,0.532,0.064
4d6h,0.344,0.6,0.056
4d6s,0.31,0.624,0.066
4d7c,0.348,0.574,0.078
4d7d,0.402,0.538,0.06
4d7h,0.336,0.614,0.05
4d7s,0.372,0.568,0.06
4d8c,0.366,0.574,0.06
4d8d,0.422,0.534,0.044
4d8h,0.376,0.57,0.054
4d8s,0.364,0.572,0.064
4d9c,0.354,0.61,0.036
4d9d,0.404,0.542,0.054
4d9h,0.394,0.564,0.042
4d9s,0.418,0.54,0.042
4dTc,0.434,0.51,0.056
4dTd,0.446,0.52,0.034
4dTh,0.42,0.516,0.064
4dTs,0.446,0.52,0.034
4dJc,0.444,0.52,0.036
4dJd,0.49,0.46,0.05
4dJh,0.448,0.52,0.032
4dJs,0.464,0.496,0.04
4dQc,0.446,0.522,0.032
4dQd,0.496,0.452,0.052
4dQh,0.438,0.518,0.044
4dQs,0.432,0.524,0.044
4dKc,0.476,0.484,0.04
4dKd,0.524,0.45,0.026
4dKh,0.546,0.412,0.042
4dKs,0.488,0.45,0.062
4dAc,0.568,0.39,0.042
4dAd,0.538,0.426,0.036
4dAh,0.556,0.398,0.046
4dAs,0.554,0.398,0.048
4h4s,0.554,0.424,0.022
4h5c,0.318,0.602,0.08
4h5d,0.36,0.578,0.062
4h5h,0.396,0.55,0.054
4h5s,0.354,0.594,0.052
4h6c,0.368,0.58,0.052
4h6d,0.356,0.594,0.05
4h6h,0.372,0.556,0.072
4h6s,0.354,0.578,0.068
4h7c,0.344,0.588,0.068
4h7d,0.32,0.632,0.048
4h7h,0.398,0.542,0.06
4h7s,0.362,0.582,0.056
4h8c,0.328,0.632,0.04
4h8d,0.342,0.606,0.052
4h8h,0.36,0.6,0.04
4h8s,0.378,0.56,0.062
4h9c,0.388,0.558,0.054
4h9d,0.344,0.622,0.034
4h9h,0.416,0.53,0.054
4h9s,0.386,0.562,0.052
4hTc,0.394,0.562,0.044
4hTd,0.412,0.542,0.046
4hTh,0.432,0.518,0.05
4hTs,0.392,0.56,0.048
4hJc,0.43,0.53,0.04
4hJd,0.436,0.526,0.038
4hJh,0.476,0.478,0.046
4hJs,0.444,0.496,0.06
4hQc,0.446,0.51,0.044
4hQd,0.448,0.488,0.064
4hQh,0.486,0.46,0.054
4hQs,0.478,0.482,0.04
4hKc,0.494,0.47,0.036
4hKd,0.514,0.454,0.032
4hKh,0.5,0.47,0.03
4hKs,0.476,0.496,0.028
4hAc,0.51,0.446,0.044
4hAd,0.532,0.412,0.056
4hAh,0.55,0.398,0.052
4hAs,0.558,0.402,0.04
4s5c,0.34,0.614,0.046
4s5d,0.292,0.64,0.068
4s5h,0.376,0.56,0.064
4s5s,0.378,0.56,0.062
4s6c,0.38,0.568,0.052
4s6d,0.332,0.616,0.052
4s6h,0.332,0.612,0.056
4s6s,0.38,0.562,0.058
4s7c,0.31,0.606,0.084
4s7d,0.356,0.588,0.056
4s7h,0.352,0.578,0.07
4s7s,0.38,0.542,0.078
4s8c,0.388,0.528,0.084
4s8d,0.374,0.572,0.054
4s8h,0.358,0.6,0.042
4s8s,0.386,0.566,0.048
4s9c,0.4,0.538,0.062
4s9d,0.392,0.574,0.034
4s9h,0.4,0.544,0.056
4s9s,0.45,0.502,0.048
4sTc,0.368,0.574,0.058
4sTd,0.426,0.514,0.06
4sTh,0.436,0.522,0.042
4sTs,0.43,0.534,0.036
4sJc,0.464,0.496,0.04
4sJd,0.444,0.488,0.068
4sJh,0.44,0.51,0.05
4sJs,0.488,0.474,0.038
4sQc,0.46,0.474,0.066
4sQd,0.464,0.486,0.05
4sQh,0.514,0.452,0.034
4sQs,0.492,0.474,0.034
4sKc,0.486,0.46,0.054
4sKd,0.498,0.454,0.048
4sKh,0.542,0.406,0.052
4sKs,0.544,0.412,0.044
4sAc,0.574,0.386,0.04
4sAd,0.54,0.422,0.038
4sAh,0.542,0.42,0.038
4sAs,0.548,0.406,0.046
5c5d,0.602,0.386,0.012
5c5h,0.602,0.39,0.008
5c5s,0.556,0.418,0.026
5c6c,0.374,0.558,0.068
5c6d,0.376,0.56,0.064
5c6h,0.364,0.582,0.054
5c6s,0.396,0.55,0.054
5c7c,0.394,0.552,0.054
5c7d,0.364,0.574,0.062
5c7h,0.378,0.568,0.054
5c7s,0.356,0.584,0.06
5c8c,0.406,0.558,0.036
5c8d,0.366,0.596,0.038
5c8h,0.402,0.544,0.054
5c8s,0.392,0.56,0.048
5c9c,0.444,0.53,0.026
5c9d,0.412,0.534,0.054
5c9h,0.396,0.532,0.072
5c9s,0.384,0.57,0.046
5cTc,0.476,0.476,0.048
5cTd,0.472,0.472,0.056
5cTh,0.422,0.522,0.056
5cTs,0.436,0.522,0.042
5cJc,0.476,0.482,0.042
5cJd,0.468,0.458,0.074
5cJh,0.46,0.488,0.052
5cJs,0.472,0.484,0.044
5cQc,0.514,0.448,0.038
5cQd,0.512,0.444,0.044
5cQh,0.504,0.446,0.05
5cQs,0.462,0.476,0.062
5cKc,0.562,0.41,0.028
5cKd,0.486,0.454,0.06
5cKh,0.52,0.454,0.026
5cKs,0.53,0.426,0.044
5cAc,0.588,0.366,0.046
5cAd,0.566,0.398,0.036
5cAh,0.564,0.4,0.036
5cAs,0.54,0.42,0.04
5d5h,0.612,0.378,0.01
5d5s,0.606,0.374,0.02
5d6c,0.376,0.554,0.07
5d6d,0.362,0.586,0.052
5d6h,0.356,0.576,0.068
5d6s,0.384,0.556,0.06
5d7c,0.368,0.564,0.068
5d7d,0.43,0.526,0.044
5d7h,0.382,0.548,0.07
5d7s,0.39,0.566,0.044
5d8c,0.384,0.582,0.034
5d8d,0.408,0.514,0.078
5d8h,0.398,0.522,0.08
5d8s,0.428,0.512,0.06
5d9c,0.426,0.51,0.064
5d9d,0.454,0.496,0.05
5d9h,0.426,0.528,0.046
5d9s,0.38,0.56,0.06
5dTc,0.396,0.554,0.05
5dTd,0.464,0.5,0.036
5dTh,0.452,0.482,0.066
5dTs,0.444,0.51,0.046
5dJc,0.474,0.482,0.044
5dJd,0.458,0.486,0.056
5dJh,0.412,0.548,0.04
5dJs,0.45,0.496,0.054
5dQc,0.506,0.454,0.04
5dQd,0.524,0.448,0.028
5dQh,0.464,0.472,0.064
5dQs,0.486,0.474,0.04
5dKc,0.49,0.468,0.042
5dKd,0.558,0.394,0.048
5dKh,0.54,0.426,0.034
5dKs,0.508,0.454,0.038
5dAc,0.572,0.396,0.032
5dAd,0.594,0.366,0.04
5dAh,0.566,0.404,0.03
5dAs,0.512,0.44,0.048
5h5s,0.586,0.41,0.004
5h6c,0.38,0.582,0.038
5h6d,0.392,0.556,0.052
5h6h,0.36,0.58,0.06
5h6s,0.392,0.546,0.062
5h7c,0.404,0.556,0.04
5h7d,0.354,0.564,0.082
5h7h,0.39,0.556,0.054
5h7s,0.37,0.57,0.06
5h8c,0.376,0.576,0.048
5h8d,0.416,0.526,0.058
5h8h,0.42,0.524,0.056
5h8s,0.402,0.534,0.064
5h9c,0.418,0.538,0.044
5h9d,0.424,0.53,0.046
5h9h,0.434,0.516,0.05
5h9s,0.402,0.548,0.05
5hTc,0.4,0.552,0.048
5hTd,0.442,0.516,0.042
5hTh,0.406,0.544,0.05
5hTs,0.404,0.564,0.032
5hJc,0.452,0.512,0.036
5hJd,0.45,0.484,0.066
5hJh,0.502,0.444,0.054
5hJs,0.472,0.482,0.046
5hQc,0.474,0.476,0.05
5hQd,0.478,0.492,0.03
5hQh,0.488,0.478,0.034
5hQs,0.476,0.49,0.034
5hKc,0.52,0.434,0.046
5hKd,0.546,0.418,0.036
5hKh,0.534,0.422,0.044
5hKs,0.522,0.424,0.054
5hAc,0.554,0.416,0.03
5hAd,0.55,0.416,0.034
5hAh,0.576,0.398,0.026
5hAs,0.556,0.41,0.034
5s6c,0.322,0.616,0.062
5s6d,0.356,0.564,0.08
5s6h,0.334,0.628,0.038
5s6s,0.408,0.526,0.066
5s7c,0.35,0.586,0.064
5s7d,0.38,0.544,0.076
5s7h,0.382,0.562,0.056
5s7s,0.418,0.524,0.058
5s8c,0.384,0.558,0.058
5s8d,0.382,0.532,0.086
5s8h,0.39,0.562,0.048
5s8s,0.408,0.542,0.05
5s9c,0.378,0.57,0.052
5s9d,0.396,0.542,0.062
5s9h,0.41,0.542,0.048
5s9s,0.432,0.52,0.048
5sTc,0.416,0.536,0.048
5sTd,0.44,0.516,0.044
5sTh,0.404,0.546,0.05
5sTs,0.476,0.48,0.044
5sJc,0.436,0.51,0.054
5sJd,0.406,0.538,0.056
5sJh,0.426,0.528,0.046
5sJs,0.484,0.466,0.05
5sQc,0.44,0.514,0.046
5sQd,0.47,0.48,0.05
5sQh,0.52,0.442,0.038
5sQs,0.514,0.45,0.036
5sKc,0.496,0.454,0.05
5sKd,0.506,0.448,0.046
5sKh,0.496,0.45,0.054
5sKs,0.544,0.422,0.034
5sAc,0.52,0.446,0.034
5sAd,0.562,0.402,0.036
5sAh,0.55,0.406,0.044
5sAs,0.616,0.34,0.044
6c6d,0.622,0.366,0.012
6c6h,0.604,0.386,0.01
6c6s,0.624,0.362,0.014
6c7c,0.454,0.5,0.046
6c7d,0.402,0.556,0.042
6c7h,0.398,0.544,0.058
6c7s,0.348,0.592,0.06
6c8c,0.438,0.514,0.048
6c8d,0.406,0.558,0.036
6c8h,0.388,0.57,0.042
6c8s,0.416,0.52,0.064
6c9c,0.506,0.456,0.038
6c9d,0.448,0.506,0.046
6c9h,0.404,0.562,0.034
6c9s,0.44,0.522,0.038
6cTc,0.462,0.506,0.032
6cTd,0.48,0.48,0.04
6cTh,0.414,0.552,0.034
6cTs,0.43,0.526,0.044
6cJc,0.512,0.464,0.024
6cJd,0.46,0.506,0.034
6cJh,0.484,0.47,0.046
6cJs,0.484,0.478,0.038
6cQc,0.512,0.464,0.024
6cQd,0.506,0.448,0.046
6cQh,0.43,0.518,0.052
6cQs,0.464,0.5,0.036
6cKc,0.546,0.418,0.036
6cKd,0.538,0.422,0.04
6cKh,0.5,0.462,0.038
6cKs,0.522,0.436,0.042
6cAc,0.584,0.384,0.032
6cAd,0.514,0.462,0.024
6cAh,0.564,0.398,0.038
6cAs,0.584,0.38,0.036
6d6h,0.642,0.342,0.016
6d6s,0.638,0.35,0.012
6d7c,0.39,0.568,0.042
6d7d,0.458,0.484,0.058
6d7h,0.41,0.534,0.056
6d7s,0.43,0.506,0.064
6d8c,0.43,0.51,0.06
6d8d,0.46,0.488,0.052
6d8h,0.406,0.556,0.038
6d8s,0.42,0.524,0.056
6d9c,0.388,0.564,0.048
6d9d,0.442,0.51,0.048
6d9h,0.442,0.514,0.044
6d9s,0.44,0.508,0.052
6dTc,0.43,0.542,0.028
6dTd,0.474,0.488,0.038
6dTh,0.426,0.512,0.062
6dTs,0.434,0.522,0.044
6dJc,0.446,0.52,0.034
6dJd,0.436,0.516,0.048
6dJh,0.474,0.472,0.054
6dJs,0.428,0.508,0.064
6dQc,0.456,0.514,0.03
6dQd,0.526,0.434,0.04
6dQh,0.496,0.458,0.046
6dQs,0.52,0.442,0.038
6dKc,0.52,0.436,0.044
6dKd,0.52,0.446,0.034
6dKh,0.52,0.44,0.04
6dKs,0.508,0.462,0.03
6dAc,0.524,0.444,0.032
6dAd,0.562,0.412,0.026
6dAh,0.57,0.39,0.04
6dAs,0.556,0.404,0.04
6h6s,0.648,0.342,0.01
6h7c,0.38,0.554,0.066
6h7d,0.404,0.552,0.044
6h7h,0.462,0.482,0.056
6h7s,0.432,0.516,0.052
6h8c,0.44,0.526,0.034
6h8d,0.38,0.566,0.054
6h8h,0.418,0.53,0.052
6h8s,0.384,0.552,0.064
6h9c,0.39,0.556,0.054
6h9d,0.392,0.562,0.046
6h9h,0.456,0.494,0.05
6h9s,0.414,0.536,0.05
6hTc,0.42,0.534,0.046
6hTd,0.432,0.532,0.036
6hTh,0.468,0.486,0.046
6hTs,0.412,0.556,0.032
6hJc,0.438,0.522,0.04
6hJd,0.492,0.476,0.032
6hJh,0.47,0.496,0.034
6hJs,0.448,0.502,0.05
6hQc,0.492,0.446,0.062
6hQd,0.482,0.47,0.048
6hQh,0.514,0.444,0.042
6hQs,0.536,0.438,0.026
6hKc,0.53,0.422,0.048
6hKd,0.542,0.42,0.038
6hKh,0.574,0.388,0.038
6hKs,0.54,0.418,0.042
6hAc,0.554,0.396,0.05
6hAd,0.564,0.392,0.044
